method,api,iterations,elapsed_ms
alive,RestRserve,2000,686747.5619316101
iris,RestRserve,2000,792670.4330444336
alive,Plumber,2500,52860.91089248657
add,Plumber,2500,61923.95091056824
iris,Plumber,2500,96076.38907432556
alive,Flask,2500,40296.602964401245
add,Flask,2500,40389.981508255005
iris,Flask,2500,112705.66606521606
alive,RestRserve,2500,841632.6439380646
iris,RestRserve,2500,916003.301858902
alive,Plumber,5000,99778.09476852417
add,Plumber,5000,102763.8852596283
iris,Plumber,5000,179838.2544517517
alive,Flask,5000,76485.74638366699
add,Flask,5000,82045.68648338318
iris,Flask,5000,233517.7493095398
alive,RestRserve,5000,1769643.5296535492
iris,RestRserve,5000,2082881.907939911
alive,Plumber,7500,143850.50749778748
add,Plumber,7500,147892.644405365
iris,Plumber,7500,254151.034116745
alive,Flask,7500,111234.7469329834
add,Flask,7500,114286.09323501587
iris,Flask,7500,333610.70728302
alive,RestRserve,7500,2787587.435245514
iris,RestRserve,7500,3097881.702184677
alive,Plumber,10000,188261.9354724884
add,Plumber,10000,189625.1142024994
