samolot;data;trasa;premier
CASA;18.09.2017;EPKK-EPWA;dane/pbs.pdf
EMB;20.09.2017;WAW-SOF-WAW;dane/pbs.pdf
CASA;25.09.2017;EPKK-EPWA;dane/pbs.pdf
EMB;29.09.2017;WAW-TLL-KRK;dane/pbs.pdf
CASA;02.10.2017;EPKK-EPWA;dane/pbs.pdf
EMB;09.10.2017;KRK-WAW;dane/pbs.pdf
CASA;13.10.2017;EPWA-LZIB-EPKK;dane/pbs.pdf
EMB;20.10.2017;WAW-BRU-KRK;dane/pbs.pdf
CASA;23.10.2017;EPKK-EPWA;dane/pbs.pdf
CASA;31.10.2017;EPWA-EPKK;dane/pbs.pdf
CASA;05.11.2017;EPKK-EPWA;dane/pbs.pdf
EMB;11.11.2017;WAW-KRK;dane/pbs.pdf
EMB;12.11.2017;KRK-WAW;dane/pbs.pdf
EMB;16.11.2017;WAW-RZE;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
CASA;20.11.2017;EPKK-EPWA;dane/pbs.pdf
EMB;23.11.2017;WAW-LBG-WAW;dane/pbs.pdf
EMB;24.11.2017;WAW-BRU-KRK;dane/pbs.pdf
EMB;26.11.2017;KRK-BZG-WAW;dane/pbs.pdf
EMB;27.11.2017;WAW-BUD-WAW;dane/pbs.pdf
NA;NA;NA;dane/pbs.pdf
CASA;01.12.2017;EPWA-EPKT;dane/pbs.pdf
CASA;03.12.2017;EPKK-EPWA;dane/pbs.pdf
EMB;08.12.2017;WAW-KRK;dane/pbs.pdf
CASA;10.12.2017;EPKK-EPWA;dane/pbs.pdf
NA;NA;NA;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
TU;30.11.2007;EPWA-EYVI-EPWA;dane/pdt.pdf
TU;01.12.2007;EPWA-EPGD-EPWA;dane/pdt.pdf
TU;03.12.2007;EPWA-EPGD-EPKT-EPKT;dane/pdt.pdf
TU;07.12.2007;EPWA-Rzym-EPGD-EPWA;dane/pdt.pdf
TU;10.12.2007;EPWA-EPGD-LKMT-EPAW;dane/pdt.pdf
TU;11.12.2007;EPWA-Berlin-EPWA;dane/pdt.pdf
TU;14.12.2007;EPWA-Paryż-LPPT-Bruksela-EPGD-EPWA;dane/pdt.pdf
TU;19.12.2007;Irak;dane/pdt.pdf
