samolot;data;trasa;premier
Bell;22.01.2010;EPWA-Orzysz-EPGD;PDT
YK;25.01.2010;EPGD-EPWA;PDT
YK;27.01.2010;EPWA-EPKK-Oświęcim;PDT
Bell;27.01.2010;EPWA-EPKK-Oświęcim;PDT
YK;29.01.2010;EPWA-EPGD;PDT
YK;05.02.2010;EPWA-EPGD;PDT
YK;07.02.2010;EPGD-EPWA-EPGD;PDT
YK;09.02.2010;EPGD-EPWA;PDT
TU;11.02.2010;EPWA-Bruksela-EPWA;PDT
YK;12.02.2010;EPWA-EPGD;PDT
YK;15.02.2010;EPGD-EPWA;PDT
YK;19.02.2010;EPWA-EPGD;PDT
TU;24.02.2010;EPWA-BUD-EPWA;PDT
YK;26.02.2010;EPWA-EPGD;PDT
YK;05.03.2010;EPWA-EPGD;PDT
YK;08.03.2010;Gdynia-EPWA;PDT
TU;12.03.2010;EPWA-Baku-Tbilisi-Erewań-EPGD-EPWA;PDT
YK;15.03.2010;EPGD-EPWA;PDT
YK;19.03.2010;EPWA-EPGD;PDT
TU;26.03.2010;EPWA-Bruksela-EPWA;PDT
YK;27.03.2010;EPWA-EPGD;PDT
TU;07.04.2010;EPWA-Smoleńsk-EPWA;PDT
TU;08.04.2010;EPWA-PRG-EPWA;PDT
Bell;08.04.2010;EPWA-Szczytno-EPWA;PDT
YK;09.04.2010;EPWA-EPGD;PDT
YK;11.04.2010;EPWA-EPGD;PDT
W3;19.04.2010;EPWA-Przasnysz-EPWA;PDT
MI8;20.04.2010;EPWA-EPGD;PDT
MI8;21.04.2010;EPGD-Kołobrzeg-EPGD;PDT
YK;24.04.2010;EPWA-EPGD;PDT
YK;26.04.2010;EPWA-EPGD-EPWA;PDT
YK;07.05.2010;EPWA-EPGD;PDT
czarter;13.05.2010;Akwizgran;PDT
YK;14.05.2010;WPWA-EPGD;PDT
YK;15.05.2010;EPGD-EPWA-EPWA;PDT
YK;18.05.2010;EPWA-EPKK-EPWA;PDT
YK;23.05.2010;EPGD-EPWA;PDT
YK;26.05.2010;EPWA-EPKK-EPWA;PDT
YK;28.05.2010;EPWA-EPGD;PDT
YK;31.05.2010;EPGD-EPWA;PDT
YK;02.06.2010;EPWA-EPGD;PDT
YK;04.06.2010;EPGD-EPWA-EPGD;PDT
YK;05.06.2010;EPGD-EPWA;PDT
W3;05.06.2010;EPWA-Sandomierz-EPWA;PDT
W3;06.06.2010;EPWA-Sandomierz-EPWA;PDT
YK;06.06.2010;EPWA-EPGD;PDT
YK;07.06.2010;EPGD-EPWA;PDT
EMB;09.06.2010;WAW- Bruksela-WAW;PDT
YK;11.06.2010;EPWA-EPGD;PDT
YK;13.06.2010;EPGD-EPWA;PDT
EMB;17.06.2010;WAW-Bruksela-WAW;PDT
EMB;18.06.2010;WAW-KTW-GDN;PDT
YK;20.06.2010;EPGD-EPWA;PDT
YK;23.06.2010;EPWA-EPKT-EPWA;PDT
YK;26.06.2010;EPWA-EPGD;PDT
YK;04.07.2010;EPGD-EPWA;PDT
EMB;09.07.2010;WAW-Dubrownik-GDN-WAW;PDT
YK;16.07.2010;EPWA-EPGD;PDT
EMB;20.07.2010;WAW-BUD-WAW;PDT
EMB;28.07.2010;WAW-PRG-WAW;PDT
EMB;23.07.2010;WAW-GDN;PDT
YK;30.07.2010;EPWA-EPGD;PDT
YK;06.08.2010;EPWA-EPGD;PDT
YK;13.08.2010;EPWA-EPGD;PDT
YK;17.08.2010;EPWA-EPKK-EPWA;PDT
YK;20.08.2010;EPWA-EPGD;PDT
YK;27.08.2010;EPWA-EPGD;PDT
YK / EMB;31.08.2010;GDN-WAW;PDT
YK;03.09.2010;EPGD-EPWA-EPGD;PDT
YK;13.09.2010;Mirosławiec-EPWA;PDT
EMB;16.09.2010;WAW-Bruksela-WAW;PDT
EMB;26.09.2010;Berlin-GDN-WAW;PDT
YK;27.09.2010;EPGD-EPWA;PDT
YK;25.09.2010;EPWA-EPGD;PDT
EMB;02.10.2010;WAW-SZZ-GDN-WAW;PDT
W3;02.10.2010;EPSZ-Świnoujście-EPSZ;PDT
EMB;04.10.2010;WAW-Bruksela-WAW;PDT
YK;08.10.2010;EPWA-EPGD;PDT
YK;09.10.2010;EPGD-EPWA-EPGD;PDT
EMB;14.10.2010;WAW-Warna-WAW;PDT
Bell;15.10.2010;EPWA-Grajewo-EPGD-EPWA;PDT
W3;25.10.2010;EPWA-Gołdap-Zambrów-EPWA;PDT
EMB;29.10.2010;WAW-Bruksela-GDN-WAW;PDT
EMB;29.10.2010;WAW-Bruksela-WAW;PDT
W3;05.11.2010;EPWA-Tarnów-Kaniów;PDT
EMB;05.11.2010;WAW-GDN;PDT
EMB;08.11.2010;GDN-WAW;PDT
Bell;12.11.2010;EPWA-Michałków-Kazimierz Biskupi-EPWA;PDT
EMB;13.11.2010;WAW-RZE-WAW;PDT
W3;13.11.2010;EPRZ-Suszno-EPRZ;PDT
EMB;14.11.2010;WAW-GDN;PDT
EMB;15.11.2010;WAW-WRO-WAW;PDT
YK;18.11.2010;EPWA-EPKK-EPWA;PDT
EMB;19.11.2010;KTW-WAW-GDN;PDT
EMB;22.11.2010;GDN-WAW;PDT
YK;26.11.2010;EPWA-EPLL-EPBY-EPGD;PDT
YK;27.11.2010;EPGD-EPKK-EPGD;PDT
YK;28.11.2010;EPGD-EPSZ-EPGD;PDT
EMB;03.12.2010;WAW-GDN;PDT
EMB;05.12.2010;GDN-WAW;PDT
EMB;06.12.2010;WAW-Berlin-WAW;PDT
EMB;09.12.2010;WAW-Ankara-Stambuł-WAW;PDT
EMB;11.12.2010;WAW-GDN;PDT
EMB;17.12.2010;WAW-Bruksela-WAW;PDT
EMB;17.12.2010;WAW-GDN;PDT
YK;20.12.2010;GDN-WAW;PDT
EMB;23.12.2010;WAW-GDN;PDT
YK;27.11.2010;EPGD-EPWA;PDT
EMB;30.12.2010;WAW-GDN;PDT
EMB;05.01.2011;WAW-GDN;PDT
EMB;17.01.2011;GDN-WAW;PDT
EMB;13.01.2011;WAW-VRN-WAW;PDT
EMB;17.01.2011;GDN-WAW;PDT
EMB;21.01.2011;WAW-GDN;PDT
EMB;31.01.2011;WAW-GDN-BRU-WAW;PDT
EMB;24.01.2011;GDN- WAW;PDT
EMB;28.01.2011;WAW-GDN;PDT
EMB;01.02.2011;WAW-GDN;PDT
EMB;02.02.2011;GDN-WAW;PDT
EMB;02.02.2011;WAW-GDN;PDT
EMB;04.02.2011;WAW-GDN-BRU-GDN-WAW;PDT
EMB;07.02.2011;GDN-WAW;PDT
EMB;15.02.2011;WAW-Bratysława-WAW;PDT
EMB;11.02.2011;WAW-GDN;PDT
EMB;18.02.2011;WAW-GDN;PDT
EMB;24.02.2011;WAW-TLV-WAW;PDT
EMB;26.02.2011;WAW-OSL-GDN-WAW;PDT
EMB;04.03.2011;WAW-KRK-GDN-WAW;PDT
EMB;11.03.2011;WAW-Torrejon-MAD-BRU-WAW;PDT
EMB;12.03.2011;WAW-GDN-WAW;PDT
EMB;25.03.2011;WAW-BRU-WAW;PDT
EMB;30.03.2011;WAW-KIV-WAW;PDT
EMB;19.03.2011;WAW-CDG-GDN-WAW;PDT
EMB;23.03.2011;WAW-SZZ-WAW;PDT
W3;23.03.2011;EPSZ-Świnoujście-EPSZ;PDT
EMB;28.03.2011;WAW-GDN-WAW;PDT
EMB;01.04.2011;WAW-GDN;PDT
EMB;08.04.2011;WAW-VIE-WAW-GDN;PDT
EMB;10.04.2011;GDN-WAW-GDN;PDT
EMB;13.04.2011;WAW-Kijów-WAW;PDT
EMB;15.04.2011;WAW-GDN;PDT
EMB;18.04.2011;WAW-GDN-Londyn-WAW;PDT
